Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Year
af,Africa,aftza,Tanzania,tza,2168.0,2014
af,Africa,afuga,Uganda,uga,633.0,2014
af,Africa,afzaf,South Africa,zaf,243838.0,2014
af,Africa,afzmb,Zambia,zmb,34419.0,2014
as,Asia,asare,United Arab Emirates,are,534249.0,2014
as,Asia,asarm,Armenia,arm,197504.00000000003,2014
as,Asia,asbgd,Bangladesh,bgd,31728.0,2014
as,Asia,aschn,China,chn,92715852.0,2014
as,Asia,ashkg,Hong Kong,hkg,34634648.0,2014
as,Asia,asidn,Indonesia,idn,658213.0,2014
as,Asia,asind,India,ind,3438913.0,2014
as,Asia,asirn,Iran,irn,3966.0,2014
as,Asia,asisr,Israel,isr,3181.0,2014
as,Asia,asjor,Jordan,jor,7369.0,2014
as,Asia,asjpn,Japan,jpn,159495.0,2014
as,Asia,askaz,Kazakhstan,kaz,16726202.0,2014
as,Asia,askor,South Korea,kor,641003.0,2014
as,Asia,asmys,Malaysia,mys,5566468.0,2014
as,Asia,asphl,Philippines,phl,67971.0,2014
as,Asia,assgp,Singapore,sgp,28508917.0,2014
as,Asia,astha,Thailand,tha,47828013.0,2014
as,Asia,astur,Turkey,tur,9371.0,2014
as,Asia,astwn,Chinese Taipei,twn,328882.0,2014
as,Asia,asvnm,Vietnam,vnm,1953543.0,2014
eu,Europe,euaut,Austria,aut,30214125.0,2014
eu,Europe,eubel,Belgium,bel,5535514.0,2014
eu,Europe,euche,Switzerland,che,27087231.0,2014
eu,Europe,eucze,Czechia,cze,23717.0,2014
eu,Europe,eudeu,Germany,deu,18397901.0,2014
eu,Europe,eudnk,Denmark,dnk,579.0,2014
eu,Europe,euesp,Spain,esp,405.0,2014
eu,Europe,euest,Estonia,est,222282.0,2014
eu,Europe,eufra,France,fra,183709.0,2014
eu,Europe,eugbr,United Kingdom,gbr,13092760.000000002,2014
eu,Europe,eugrc,Greece,grc,151441.0,2014
eu,Europe,euhrv,Croatia,hrv,34594.0,2014
eu,Europe,euirl,Ireland,irl,6671.999999999999,2014
eu,Europe,euita,Italy,ita,1007930.0,2014
eu,Europe,eultu,Lithuania,ltu,53404.0,2014
eu,Europe,eulux,Luxembourg,lux,637282.0,2014
eu,Europe,eulva,Latvia,lva,29450.0,2014
eu,Europe,eunld,Netherlands,nld,81425.99999999999,2014
eu,Europe,eupol,Poland,pol,717254.0,2014
eu,Europe,euprt,Portugal,prt,121982.0,2014
eu,Europe,eurus,Russia,rus,46570.0,2014
eu,Europe,eusvk,Slovakia,svk,12123.0,2014
eu,Europe,euswe,Sweden,swe,195292.0,2014
eu,Europe,euukr,Ukraine,ukr,2301.0,2014
na,North America,nabrb,Barbados,brb,3350.0,2014
na,North America,nacan,Canada,can,527790.9999999999,2014
na,North America,nadom,Dominican Republic,dom,58341.0,2014
na,North America,nagrd,Grenada,grd,6584.0,2014
na,North America,nagtm,Guatemala,gtm,45364.0,2014
na,North America,nahnd,Honduras,hnd,1663.0,2014
na,North America,nahti,Haiti,hti,4050.0,2014
na,North America,najam,Jamaica,jam,35519.0,2014
na,North America,namex,Mexico,mex,9898902.0,2014
na,North America,nanic,Nicaragua,nic,308.0,2014
na,North America,natto,Trinidad and Tobago,tto,16526.0,2014
na,North America,nausa,United States,usa,68200213.0,2014
oc,Oceania,ocaus,Australia,aus,125378.0,2014
oc,Oceania,ocnzl,New Zealand,nzl,158.0,2014
sa,South America,sabol,Bolivia,bol,3593.0,2014
sa,South America,sabra,Brazil,bra,2963117.0,2014
sa,South America,saecu,Ecuador,ecu,27080.0,2014
sa,South America,saper,Peru,per,4489.0,2014
sa,South America,sasur,Suriname,sur,13110.0,2014
af,Africa,afbwa,Botswana,bwa,3809.0,2015
af,Africa,afegy,Egypt,egy,11945.0,2015
af,Africa,afgab,Gabon,gab,13736.0,2015
af,Africa,afmdg,Madagascar,mdg,3205.0,2015
af,Africa,afrwa,Rwanda,rwa,20.0,2015
af,Africa,afsen,Senegal,sen,887288.0,2015
af,Africa,aftza,Tanzania,tza,303529.0,2015
af,Africa,afzaf,South Africa,zaf,89309.00000000001,2015
af,Africa,afzmb,Zambia,zmb,1180.0,2015
as,Asia,asare,United Arab Emirates,are,880071.0,2015
as,Asia,asarm,Armenia,arm,77642.0,2015
as,Asia,asaze,Azerbaijan,aze,594.0,2015
as,Asia,asbgd,Bangladesh,bgd,213987.0,2015
as,Asia,aschn,China,chn,94081862.0,2015
as,Asia,ashkg,Hong Kong,hkg,32399379.0,2015
as,Asia,asidn,Indonesia,idn,429236.0,2015
as,Asia,asind,India,ind,2349519.0,2015
as,Asia,asirn,Iran,irn,48221.0,2015
as,Asia,asisr,Israel,isr,1000.0,2015
as,Asia,asjpn,Japan,jpn,2384882.0,2015
as,Asia,askaz,Kazakhstan,kaz,16721243.0,2015
as,Asia,askor,South Korea,kor,1628598.0000000002,2015
as,Asia,asmmr,Burma,mmr,17520.0,2015
as,Asia,asmys,Malaysia,mys,1462437.0,2015
as,Asia,asomn,Oman,omn,45027.0,2015
as,Asia,aspak,Pakistan,pak,2797.0,2015
as,Asia,asphl,Philippines,phl,168372.0,2015
as,Asia,assgp,Singapore,sgp,1190977.0,2015
as,Asia,astha,Thailand,tha,56812541.0,2015
as,Asia,astkm,Turkmenistan,tkm,2268.0000000000005,2015
as,Asia,astur,Turkey,tur,15585.0,2015
as,Asia,astwn,Chinese Taipei,twn,361418.0,2015
as,Asia,asvnm,Vietnam,vnm,490228.0,2015
eu,Europe,euaut,Austria,aut,3787399.000000001,2015
eu,Europe,eubel,Belgium,bel,6179553.0,2015
eu,Europe,euche,Switzerland,che,28475319.0,2015
eu,Europe,eucze,Czechia,cze,130552.0,2015
eu,Europe,eudeu,Germany,deu,7426659.0,2015
eu,Europe,eudnk,Denmark,dnk,2514.0000000000005,2015
eu,Europe,euesp,Spain,esp,290244.0,2015
eu,Europe,euest,Estonia,est,6088039.0,2015
eu,Europe,eufin,Finland,fin,286.00000000000006,2015
eu,Europe,eufra,France,fra,223136.0,2015
eu,Europe,eugbr,United Kingdom,gbr,4056712.0,2015
eu,Europe,euhrv,Croatia,hrv,6655.0,2015
eu,Europe,euhun,Hungary,hun,719.0000000000001,2015
eu,Europe,euirl,Ireland,irl,6350.0,2015
eu,Europe,euita,Italy,ita,1189679.0,2015
eu,Europe,eultu,Lithuania,ltu,320900.0,2015
eu,Europe,eulux,Luxembourg,lux,1785512.0000000002,2015
eu,Europe,eulva,Latvia,lva,247470.0,2015
eu,Europe,eumkd,North Macedonia,mkd,294404.0,2015
eu,Europe,eunld,Netherlands,nld,276.99999999999994,2015
eu,Europe,eupol,Poland,pol,248.0,2015
eu,Europe,euprt,Portugal,prt,188645.0,2015
eu,Europe,eurou,Romania,rou,3656.0,2015
eu,Europe,eurus,Russia,rus,12079.0,2015
eu,Europe,eusvk,Slovakia,svk,4261.0,2015
eu,Europe,euswe,Sweden,swe,162561.00000000003,2015
eu,Europe,euukr,Ukraine,ukr,71609.0,2015
na,North America,nabrb,Barbados,brb,7496.0,2015
na,North America,nacan,Canada,can,607991.0,2015
na,North America,nadma,Dominica,dma,87.0,2015
na,North America,nadom,Dominican Republic,dom,11131.999999999998,2015
na,North America,nagrd,Grenada,grd,5144.0,2015
na,North America,nagtm,Guatemala,gtm,4889.0,2015
na,North America,nahnd,Honduras,hnd,453.0,2015
na,North America,nahti,Haiti,hti,4360.0,2015
na,North America,najam,Jamaica,jam,29528.000000000004,2015
na,North America,namex,Mexico,mex,380502.0,2015
na,North America,natto,Trinidad and Tobago,tto,15799.0,2015
na,North America,nausa,United States,usa,56770521.0,2015
oc,Oceania,ocaus,Australia,aus,38324.0,2015
oc,Oceania,ocnzl,New Zealand,nzl,12.0,2015
sa,South America,saarg,Argentina,arg,3295.0,2015
sa,South America,sabra,Brazil,bra,167603.0,2015
sa,South America,saecu,Ecuador,ecu,26258.000000000004,2015
sa,South America,saper,Peru,per,12667.0,2015
sa,South America,sasur,Suriname,sur,12997.0,2015
af,Africa,afben,Benin,ben,3413.0000000000005,2016
af,Africa,afciv,Cote d'Ivoire,civ,317.0,2016
af,Africa,afegy,Egypt,egy,3877.0,2016
af,Africa,afmdg,Madagascar,mdg,64.0,2016
af,Africa,afnga,Nigeria,nga,35519.0,2016
af,Africa,afrwa,Rwanda,rwa,49488.0,2016
af,Africa,afuga,Uganda,uga,7907.0,2016
af,Africa,afzaf,South Africa,zaf,1369803.0,2016
af,Africa,afzmb,Zambia,zmb,1722.0,2016
as,Asia,asare,United Arab Emirates,are,2966648.0,2016
as,Asia,asarm,Armenia,arm,35504.0,2016
as,Asia,asbgd,Bangladesh,bgd,383943.00000000006,2016
as,Asia,aschn,China,chn,109739427.0,2016
as,Asia,ashkg,Hong Kong,hkg,23246925.0,2016
as,Asia,asidn,Indonesia,idn,390596.0,2016
as,Asia,asind,India,ind,5580293.0,2016
as,Asia,asirn,Iran,irn,44679.0,2016
as,Asia,asjpn,Japan,jpn,6065155.0,2016
as,Asia,askaz,Kazakhstan,kaz,14360944.0,2016
as,Asia,askor,South Korea,kor,515026.00000000006,2016
as,Asia,aslao,Laos,lao,21000.0,2016
