Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Saint Vincent and the Grenadines,260,275,300,309,313,341,358,376,403,422
Maldives,231,262,306,346,382,466,527,652,693,756
Solomon Islands,215,228,269,301,403,469,511,527,458,488
Saint Kitts and Nevis,203,201,223,243,272,293,312,351,366,389
Dominica,201,220,234,246,264,275,292,303,322,332
Samoa,182,176,193,198,158,242,258,280,286,262
Vanuatu,169,201,209,200,234,249,261,273,262,268
Tonga,144,169,178,183,189,207,218,222,212,197
Equatorial Guinea,133,132,160,162,120,169,276,526,440,738
São Tomé and Príncipe,120,108,96,127,132,104,136,93,73,78
Kiribati,37,41,62,59,67,69,81,80,75,77
Afghanistan,,,,,,,,,,
Andorra,,,,,,,,,,
Armenia,,,108,835,648,"1,287","1,597","1,639","1,892","1,845"
Aruba,,,,,,"1,321","1,38","1,532","1,665","1,723"
Azerbaijan,,,"1,193","1,309","2,258","2,417","3,177","4,317","4,28","4,581"
Belarus,,,"12,8","11,408","15,687","10,532","14,494","14,091","15,215","12,133"
Bosnia and Herzegovina,,,,,,,"3,584","4,578","5,281","5,766"
Croatia,,,568,"7,355","16,663","20,65","22,097","22,094","23,963","23,585"
Czech Republic,,,,,,"60,139","67,388","62,171","66,782","65,173"
Djibouti,,650,672,655,691,699,694,706,722,759
Eritrea,,,606,374,433,483,579,594,626,614
Estonia,,,,"1,791","2,507","3,909","4,785","5,16","5,678","5,772"
Georgia,,,,,850,"1,961","3,148","3,608","3,73","2,898"
Iraq,,,,,,,,,"10,469","18,449"
Kazakhstan,,,"2,875","5,152","11,881","16,639","21,035","22,166","22,135","16,87"
Kosovo,,,,,,,,,,
Kyrgyzstan,,,917,665,"1,108","1,493","1,822","1,767","1,63","1,242"
Latvia,,,"1,694","2,728","4,533","5,411","5,975","6,529","7,169","7,535"
Liberia,,,,,,,,,,
Lithuania,,,,,,"6,696","8,383","10,119","11,24","10,972"
Macau,,,,,,,,,,
Malta,,,,,,"3,38","3,446","3,489","3,697","3,858"
Marshall Islands,,,,,,,,110,112,113
Federated States of Micronesia,,,,,,220,217,204,217,217
Moldova,,,864,"1,11","1,158","1,441","1,694","1,928","1,697","1,172"
Montenegro,,,,,,,,,,
Myanmar,,,,,,,,,"4,838","6,044"
Nauru,,,,,,,,,,
North Macedonia,,,"2,443","2,687","3,561","4,687","4,642","3,928","3,764","3,867"
Palau,,,,,,,,,,
Russia,,,"71,603","196,227","293,768","335,777","412,685","433,704","287,672","209,657"
San Marino,,,,,,,,,,
Serbia,,,,,,,,,,
Slovakia,,,,"13,726","15,838","20,034","21,659","21,927","22,825","20,867"
Slovenia,,,"19,271","16,626","16,845","21,384","21,516","20,805","22,168","22,77"
Somalia,,,,,,,,,,
South Sudan,,,,,,,,,,
Tajikistan,,,291,678,829,569,"1,052","1,121","1,32","1,087"
Timor-Leste,,,,,,,,,,
Turkmenistan,,,"1,625","9,169","7,765","10,043","4,068","4,584","4,893","6,595"
Tuvalu,,,,,,,,,,
Ukraine,,,"22,193","35,025","38,012","38,275","46,083","51,867","43,315","32,661"
Uzbekistan,,,"4,476","6,897","8,175","12,746","17,453","18,433","18,738","21,362"
Palestine,,,,,"2,843","3,283","3,41","3,76","4,068","4,271"
